medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
F79B8B6D1304C70CD1F8C6EED8E7F517,AB9304AFABF0E32D80F1970E00BE2D86,VTS,1.0,,2013-01-13 07:32:00,2013-01-13 07:34:00,2.0,120.0,0.7,-73.96666,40.584637,-73.964699,40.579056,True,,,,,,,,,,,,,
27A6269E995D8AA00AA2F87C6E9263CE,1B61C863CEAB7C65BDC5D2A01DE7E5D2,VTS,1.0,,2013-01-13 12:03:00,2013-01-13 12:08:00,1.0,300.0,1.11,-73.965469,40.591042,-73.971687,40.580379,True,,,,,,,,,,,,,
937AFEDC19627E6C3B5885E4B0FCCBF7,877D8990892E68125237F629AA0FC5BD,VTS,1.0,,2013-01-14 07:37:00,2013-01-14 07:57:00,5.0,1200.0,5.21,-73.967987,40.578354,-74.008583,40.625668,True,,,,,,,,,,,,,
789E7E64EC7C31A88C1683D3BA163A46,3C0FB2975708DF2E873C6D7C72E7EABE,VTS,1.0,,2013-01-14 20:35:00,2013-01-14 20:51:00,4.0,960.0,3.46,-73.970573,40.566666,-74.006653,40.73439,True,,,,,,,,,,,,,
DF10AF2A9FF6923D057BAB8500283FCE,B81298D7AFE3F080D8F9E03BA38CAE71,VTS,1.0,,2013-01-15 00:13:00,2013-01-15 00:17:00,1.0,240.0,1.73,-73.973999,40.590172,-73.959785,40.579376,True,,,,,,,,,,,,,
469730C77B4DBC89765CBA5CDF60A1E0,45A4FFF28139B7D4304B5BF307E58DB3,VTS,1.0,,2013-01-15 00:01:00,2013-01-15 00:13:00,6.0,720.0,2.85,-73.977325,40.594379,-73.937721,40.594112,True,,,,,,,,,,,,,
DC2F8C6C3F9B6F465B6C1AA21038B140,A7C700771BC41B7002058C702E3ABB5D,VTS,1.0,,2013-01-15 07:53:00,2013-01-15 08:31:00,1.0,2280.0,17.57,-73.989967,40.596832,-73.918396,40.731709,True,,,,,,,,,,,,,
CC7636D707F7C61FCA4986990A56EB47,64B6C00584BCF6243CA9578BFAA17B77,VTS,1.0,,2013-01-15 12:44:00,2013-01-15 13:01:00,5.0,1020.0,9.06,-73.985542,40.580616,-74.019943,40.636276,True,,,,,,,,,,,,,
A614810E4C8DB5D24EF62F55995648BD,BCF6A9D98B89D59FC37DE105CB64CD37,VTS,1.0,,2013-01-15 20:39:00,2013-01-15 20:50:00,5.0,660.0,2.36,-73.993248,40.596336,-74.017838,40.707237,True,,,,,,,,,,,,,
A3CBBAF911A9C6276DB6BB874F192D72,8BF0E72CAB26DAC5F1BC7E052DC7CF63,VTS,2.0,,2013-01-16 04:24:00,2013-01-16 04:26:00,1.0,120.0,0.0,-73.983261,40.579983,-73.983261,40.580013,True,,,,,,,,,,,,,
CB64DB8A226AA8272969819336764148,C48D009E9B36DED747FD5F6690841A38,VTS,1.0,,2013-01-16 19:05:00,2013-01-16 19:13:00,5.0,480.0,1.62,-73.974442,40.582184,-73.986435,40.597481,True,,,,,,,,,,,,,
E0FF83B00BBE193D93702125B41CFDF5,2DF1A22B10D0A5F4FE01403135CA5205,VTS,5.0,,2013-01-16 23:40:00,2013-01-16 23:41:00,2.0,60.0,0.0,-73.969292,40.586395,-73.969292,40.586395,True,,,,,,,,,,,,,
3A144622F70AAA6E33F32E2711C270B6,38AE6BD31887EC5F00446498413C14D9,VTS,5.0,,2013-01-17 01:25:00,2013-01-17 01:26:00,1.0,60.0,0.0,-73.968346,40.578629,-73.968353,40.578632,True,,,,,,,,,,,,,
9F8B1F5E209FBFDCF49F5637B6FC3E59,F4F849629193628F347B6727DA11F428,VTS,1.0,,2013-01-01 02:35:00,2013-01-01 02:46:00,1.0,660.0,4.98,-73.992538,40.591534,-73.931198,40.584526,True,,,,,,,,,,,,,
FD3677D466E4C0909725B7C43DC82274,E00F751C2B0FA836A59865BB72F9D126,VTS,1.0,,2013-01-01 01:59:00,2013-01-01 02:20:00,1.0,1260.0,0.95,-73.9925,40.573174,-73.955116,40.618862,True,,,,,,,,,,,,,
0B3F2B0EF39CEDFAD933992382471806,E009BC092F8A930D0450B62BE192CF9B,VTS,1.0,,2013-01-01 02:07:00,2013-01-01 02:16:00,1.0,540.0,1.58,-73.973076,40.596462,-73.948441,40.599339,True,,,,,,,,,,,,,
8FD3E60B2A58B900EA73D7735D2E005C,5D7EB0CFCDAEF6939192726592CE4B2C,VTS,1.0,,2013-01-01 13:21:00,2013-01-01 14:06:00,4.0,2700.0,11.16,-73.981125,40.575401,-73.991982,40.701691,True,,,,,,,,,,,,,
A2B2E4DC64E3B3B9F8DCEF7551A38BEC,902DEAA1A28E6022CDD3542D5BF7CD92,VTS,1.0,,2013-01-01 16:59:00,2013-01-01 17:03:00,2.0,240.0,0.76,-73.969025,40.596622,-73.964935,40.598049,True,,,,,,,,,,,,,
AD46B7F1DF39770161163EAE88574E58,D9A8DA0FCC24B2AA58335A92569D59D4,VTS,3.0,,2013-01-02 15:49:00,2013-01-02 15:50:00,5.0,60.0,0.0,-73.971054,40.583786,-73.971069,40.583786,True,,,,,,,,,,,,,
9C9089B47CB3EDAB022A43F840354E1C,FA981116B99421FCFC50BC70C4A3F164,VTS,1.0,,2013-01-02 20:42:00,2013-01-02 20:58:00,5.0,960.0,0.52,-73.986954,40.576855,-73.991158,40.576279,True,,,,,,,,,,,,,
BEF9022E31C916B753397A703204F20B,85B61C7486FD793B98B022ECCA2E5E40,VTS,1.0,,2013-01-03 22:35:00,2013-01-03 22:39:00,2.0,240.0,0.83,-74.003136,40.576874,-74.005791,40.577972,True,,,,,,,,,,,,,
8E64A30514DAC9AB727CE9FDBC28666F,56A8AAA9146D3289B9B936E3BE6B2238,VTS,1.0,,2013-01-04 01:22:00,2013-01-04 01:27:00,6.0,300.0,0.95,-73.976967,40.596539,-73.990669,40.599995,True,,,,,,,,,,,,,
78833E177D45E4BC520222FFBBAC5B77,1F797A37790043459D9F54B31CE8B655,VTS,1.0,,2013-01-04 09:25:00,2013-01-04 09:37:00,5.0,720.0,2.47,-73.979973,40.579136,-73.977463,40.606815,True,,,,,,,,,,,,,
AD46B7F1DF39770161163EAE88574E58,BC1628E82DD64C07B75DD93895ADB943,VTS,1.0,,2013-01-04 02:39:00,2013-01-04 02:47:00,4.0,480.0,3.13,-73.975731,40.579845,-73.940353,40.598423,True,,,,,,,,,,,,,
01D13A056D9A26F84C328DFDD5534B55,7F70DBB800E817EEA4C0FA4CB807B913,VTS,1.0,,2013-01-05 04:37:00,2013-01-05 05:05:00,5.0,1680.0,22.67,-73.982445,40.596951,-73.844864,40.73793,True,,,,,,,,,,,,,
8995D509E86B6F910F8C0E1947FE299A,030F4789E1CFA1C84BD262DC9B027EFA,VTS,1.0,,2013-01-05 16:20:00,2013-01-05 16:32:00,6.0,720.0,2.76,-73.994354,40.59446,-73.999664,40.728302,True,,,,,,,,,,,,,
FD5E3758B9BA80F962A759ED4B1DE76A,0EBDA5F9612AC94FBA537169EE96D01A,VTS,1.0,,2013-01-06 12:14:00,2013-01-06 13:03:00,1.0,2940.0,17.73,-73.997917,40.593712,-73.847794,40.721485,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 11:37:49,2013-01-18 12:09:15,1.0,1886.0,5.3,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
7BCF99DE6896C51773871DECFF51DB97,8467F2F789895A38F8EFA681F55D4478,CMT,5.0,N,2013-01-01 11:46:12,2013-01-01 11:47:01,2.0,48.0,0.0,-73.985001,40.578785,-73.985001,40.578785,True,,,,,,,,,,,,,
0C351740D5081DF4329D6328057F9D44,C6D51B67A7997F764338A33BFAC55CDC,CMT,1.0,N,2013-01-02 06:47:56,2013-01-02 06:57:40,1.0,583.0,3.0,-73.972435,40.579334,-74.0112,40.714813,True,,,,,,,,,,,,,
2ACD60D565F510B4B32EF75DCE0CCBF0,5944F6EFFDBF39AF4AB513835EC239DE,CMT,1.0,N,2013-01-04 00:29:04,2013-01-04 00:34:00,1.0,295.0,2.0,-73.969757,40.580051,-73.986504,40.599403,True,,,,,,,,,,,,,
1FD758B30E864D2536032187A7F4A026,30AC3F0D3D2FCAA669830063A60F4FFD,CMT,1.0,N,2013-01-04 17:11:05,2013-01-04 17:25:47,1.0,882.0,3.9,-73.973289,40.590263,-73.981499,40.736462,True,,,,,,,,,,,,,
42CEF08C6F268E7C151625C839D8DCB7,BAEF5530FE83540A4F3B651354F1CAE7,CMT,1.0,N,2013-01-05 03:58:29,2013-01-05 04:16:54,1.0,1105.0,4.4,-73.978958,40.59639,-74.010521,40.629749,True,,,,,,,,,,,,,
162C56063E27DC18451B8A3B19BC5894,A9F2024B9DE7A8483D861702B8C8862B,CMT,1.0,N,2013-01-06 04:52:43,2013-01-06 05:03:16,1.0,633.0,2.7,-73.983414,40.586338,-73.943863,40.58564,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-07 23:46:09,2013-01-08 00:21:17,1.0,2107.0,8.3,-73.99231,40.574486,-73.99231,40.574486,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:28:50,2013-01-09 20:38:18,1.0,567.0,1.3,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:06:49,2013-01-09 20:17:10,2.0,620.0,0.8,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:39:29,2013-01-09 20:46:09,1.0,400.0,2.2,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 19:39:44,2013-01-09 19:52:10,2.0,745.0,2.0,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
31CEB44783B50EEE3A6CC1E43B37DFA2,F7802B88F3429CFF1B3646227C31C2BF,CMT,5.0,N,2013-01-10 03:35:32,2013-01-10 03:36:56,1.0,83.0,0.2,-73.994408,40.592091,-73.995605,40.594654,True,,,,,,,,,,,,,
92E56A3E642EB10249233466494C731B,617B57B248AC7190A61C750DE26510D3,CMT,5.0,N,2013-01-10 11:20:28,2013-01-10 11:28:10,1.0,461.0,0.0,-73.99189,40.592251,-73.993362,40.601719,True,,,,,,,,,,,,,
AFD4ED8962C18BFDBCBA5DE63F37D1F4,3863AAA757CE0F00DBAAA35D2648CD79,CMT,1.0,N,2013-01-10 07:02:55,2013-01-10 07:12:28,1.0,572.0,3.2,-73.964294,40.590374,-73.964294,40.590374,True,,,,,,,,,,,,,
F5C9CE86F90420EC95BE1C546D02B38F,3200B71806B88EDA41DD610FB9E5F65A,CMT,1.0,N,2013-01-10 22:06:40,2013-01-10 22:18:01,2.0,681.0,1.9,-73.977417,40.582726,-73.977417,40.582726,True,,,,,,,,,,,,,
F5C9CE86F90420EC95BE1C546D02B38F,3200B71806B88EDA41DD610FB9E5F65A,CMT,1.0,N,2013-01-10 22:18:56,2013-01-10 22:28:30,2.0,573.0,1.8,-73.977417,40.582726,-73.977417,40.582726,True,,,,,,,,,,,,,
0BF4420826CD7D1E2A2CABF3FFDB438A,C3FFADA8291D314E1E005819FFF5F513,CMT,5.0,N,2013-01-12 04:40:05,2013-01-12 04:41:12,1.0,66.0,0.0,-73.967842,40.580578,-73.967842,40.580578,True,,,,,,,,,,,,,
2BB6F5173D051BE1F493B980D6178976,55695D5B1BC32F0CB1B3F7D6DDDF1EDF,CMT,5.0,N,2013-01-13 20:34:32,2013-01-13 20:35:18,1.0,45.0,0.0,-73.983521,40.581207,-73.983505,40.5812,True,,,,,,,,,,,,,
BE396B0A225BCBE6F29EF9F1C9258668,17AB94BDA38748F08632A314257BAAC3,CMT,1.0,N,2013-01-13 04:44:47,2013-01-13 04:46:46,1.0,119.0,0.4,-74.007233,40.575775,-74.006454,40.580063,True,,,,,,,,,,,,,
EF10D5A08A0D103A1701537C93FD55AC,6CCBBD96C855460F4E87A6A5784E39D3,CMT,5.0,N,2013-01-13 04:53:51,2013-01-13 04:54:29,2.0,38.0,0.0,-73.971687,40.579903,-73.971672,40.579906,True,,,,,,,,,,,,,
EF10D5A08A0D103A1701537C93FD55AC,6CCBBD96C855460F4E87A6A5784E39D3,CMT,5.0,N,2013-01-13 04:52:04,2013-01-13 04:52:47,2.0,43.0,0.0,-73.971672,40.579918,-73.971664,40.579937,True,,,,,,,,,,,,,
9C7529504DBF25D05C71B54DCC6892D2,E21D5A7D902A9A94FBE276FC67B12AEF,CMT,1.0,N,2013-01-17 06:34:04,2013-01-17 06:42:30,1.0,505.0,2.9,-73.966171,40.586548,-74.012794,40.715267,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 08:38:49,2013-01-18 08:50:15,1.0,686.0,1.3,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 10:55:39,2013-01-18 11:04:17,1.0,517.0,1.3,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 05:02:46,2013-01-18 05:05:41,1.0,175.0,0.8,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 09:48:33,2013-01-18 10:07:49,1.0,1156.0,2.1,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 06:26:06,2013-01-18 06:36:57,1.0,651.0,2.3,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 05:38:42,2013-01-18 06:00:54,1.0,1332.0,10.0,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 06:54:00,2013-01-18 07:02:34,1.0,514.0,1.4,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 07:59:11,2013-01-18 08:14:10,1.0,899.0,2.5,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 06:43:41,2013-01-18 06:52:04,1.0,502.0,2.1,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 11:05:10,2013-01-18 11:29:12,3.0,1441.0,4.7,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 07:30:54,2013-01-18 07:39:04,1.0,489.0,1.0,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
0C351740D5081DF4329D6328057F9D44,C6D51B67A7997F764338A33BFAC55CDC,CMT,1.0,N,2013-01-02 06:36:48,2013-01-02 06:41:43,1.0,294.0,1.4,-73.972435,40.579334,-73.972435,40.579334,True,,,,,,,,,,,,,
E0B315ABFE103A63E919FEB6760209E9,F1FFE893A5E1A06AB540BF43EE1B9A23,CMT,1.0,N,2013-01-03 05:29:03,2013-01-03 05:43:06,1.0,843.0,7.8,-73.965424,40.589207,-73.997002,40.692917,True,,,,,,,,,,,,,
F10387EA1E58BF976A1D8119D24596F1,F8D67FD518F6EBA4C8692A4EE8B29910,CMT,1.0,N,2013-01-03 12:27:50,2013-01-03 13:03:01,2.0,2111.0,10.6,-73.980408,40.596741,-74.000641,40.718239,True,,,,,,,,,,,,,
5921D3DC9CFE47F68A17236B1C36D27E,CC7C8F95211ECE448C6EC2B6DBED3C96,CMT,1.0,N,2013-01-01 12:07:05,2013-01-01 12:46:01,1.0,2335.0,9.5,-73.972633,40.574478,-73.980354,40.676502,True,,,,,,,,,,,,,
4DC80FE9E42B35052A5F3FD095511228,54BAF0BE7C208682D1512367E802DE74,VTS,1.0,,2013-01-17 15:19:00,2013-01-17 15:22:00,5.0,180.0,0.69,-73.965561,40.561138,-73.977425,40.557617,True,,,,,,,,,,,,,
7831BDCAC8FC7AECBB8AF548090C2042,EDEF29522A2E46657E8D92BBE59CCE1C,VTS,1.0,,2013-01-18 14:58:00,2013-01-18 15:29:00,3.0,1860.0,14.44,-73.965942,40.586224,-74.007675,40.711517,True,,,,,,,,,,,,,
132DCED0C0D70E6557992F9ED64A18D5,8C1B1D015EB4928F9204BF670AF602A9,VTS,1.0,,2013-01-20 03:37:00,2013-01-20 04:09:00,1.0,1920.0,15.41,-73.995857,40.572872,-73.945587,40.661125,True,,,,,,,,,,,,,
9C7529504DBF25D05C71B54DCC6892D2,E21D5A7D902A9A94FBE276FC67B12AEF,CMT,1.0,N,2013-01-22 07:01:37,2013-01-22 07:15:55,1.0,857.0,3.4,-73.968155,40.58448,-74.015381,40.709946,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-22 07:01:46,2013-01-22 07:06:06,1.0,260.0,0.7,-73.9767,40.58271,-73.994476,40.727757,True,,,,,,,,,,,,,
D9B9634B4EB6F365E7EA4B6F6C80FE39,ED5FDDFAE5077BBCF0E24CB2080BF6F0,CMT,5.0,N,2013-01-23 00:51:49,2013-01-23 00:55:49,1.0,240.0,0.0,-73.964935,40.576035,-73.964935,40.576118,True,,,,,,,,,,,,,
A1820C0C2A66AE0404C695FEA70C5969,522CE80C433AFF0C8A5F4A288B583F39,CMT,1.0,N,2013-01-02 12:59:45,2013-01-02 13:03:38,1.0,232.0,0.6,-73.981247,40.594292,-73.981247,40.594292,True,,,,,,,,,,,,,
704444EE57A8AE7A2F940BED63980E29,6B20E6906E502C315DAF0993A58362B4,CMT,1.0,N,2013-01-13 02:14:12,2013-01-13 02:19:32,1.0,320.0,1.7,-73.986946,40.574802,-73.966377,40.58548,True,,,,,,,,,,,,,
B6FC8357E0D53B0F1FA897D536A20F5C,B62AB586B42EE9320A94E32B772C0FB3,CMT,1.0,N,2013-01-03 03:50:22,2013-01-03 03:50:42,1.0,20.0,0.0,-73.983475,40.576836,-73.984718,40.576668,True,,,,,,,,,,,,,
E0B315ABFE103A63E919FEB6760209E9,F1FFE893A5E1A06AB540BF43EE1B9A23,CMT,1.0,N,2013-01-04 05:33:42,2013-01-04 05:46:18,1.0,756.0,7.7,-73.965729,40.588921,-73.997559,40.69165,True,,,,,,,,,,,,,
761033F2C6F96EBFA9F578E968FDEDE5,57BA3B6F0431B97A8CD52CEDA8CB7FA4,CMT,1.0,N,2013-01-04 14:59:00,2013-01-04 15:21:52,3.0,1371.0,5.6,-73.967888,40.583424,-74.013893,40.702396,True,,,,,,,,,,,,,
A5A8269908F5D906140559A300992053,7DD43BAFE43FFA1C3D96ABD571F4BF29,CMT,1.0,N,2013-01-03 19:24:00,2013-01-03 19:24:57,1.0,56.0,0.1,-73.967339,40.581432,-73.966911,40.583206,True,,,,,,,,,,,,,
DF681D7A829430AEE83AAF5CCC078407,1844B19E3705E8F2D17BD700D327ECF3,CMT,1.0,N,2013-01-07 13:34:59,2013-01-07 13:47:02,1.0,722.0,3.2,-73.968422,40.579582,-73.986572,40.60743,True,,,,,,,,,,,,,
DF681D7A829430AEE83AAF5CCC078407,1844B19E3705E8F2D17BD700D327ECF3,CMT,1.0,N,2013-01-07 14:21:12,2013-01-07 14:33:02,1.0,710.0,2.4,-73.964882,40.586803,-73.977203,40.605183,True,,,,,,,,,,,,,
E0B315ABFE103A63E919FEB6760209E9,F1FFE893A5E1A06AB540BF43EE1B9A23,CMT,1.0,N,2013-01-08 05:33:13,2013-01-08 05:46:15,1.0,781.0,7.7,-73.965446,40.589146,-73.997353,40.692268,True,,,,,,,,,,,,,
F10387EA1E58BF976A1D8119D24596F1,F8D67FD518F6EBA4C8692A4EE8B29910,CMT,1.0,N,2013-01-05 12:46:52,2013-01-05 13:14:39,2.0,1667.0,10.8,-73.980469,40.596722,-73.997978,40.713909,True,,,,,,,,,,,,,
F3236C2BB53B2DDB6EA9438A0AD56A67,7EE894AD2A2B44C70550546A3AE5EFD6,CMT,1.0,N,2013-01-06 02:18:28,2013-01-06 02:21:24,1.0,175.0,1.2,-73.964874,40.591915,-73.971092,40.606918,True,,,,,,,,,,,,,
AFD4ED8962C18BFDBCBA5DE63F37D1F4,3863AAA757CE0F00DBAAA35D2648CD79,CMT,1.0,N,2013-01-10 06:49:30,2013-01-10 06:52:25,1.0,174.0,0.7,-73.964294,40.590374,-73.964294,40.590374,True,,,,,,,,,,,,,
87D4CF6DA6EE49C6A5365514F7D8F0EC,6B20E6906E502C315DAF0993A58362B4,CMT,1.0,N,2013-01-10 23:45:29,2013-01-10 23:58:37,1.0,787.0,7.7,-73.971352,40.583069,-73.925941,40.638557,True,,,,,,,,,,,,,
E0B315ABFE103A63E919FEB6760209E9,F1FFE893A5E1A06AB540BF43EE1B9A23,CMT,1.0,N,2013-01-09 05:32:54,2013-01-09 05:46:04,1.0,790.0,7.6,-73.965218,40.589859,-73.997597,40.691605,True,,,,,,,,,,,,,
F10387EA1E58BF976A1D8119D24596F1,F8D67FD518F6EBA4C8692A4EE8B29910,CMT,1.0,N,2013-01-14 13:49:32,2013-01-14 14:20:32,2.0,1860.0,10.6,-73.980423,40.596771,-74.000679,40.718262,True,,,,,,,,,,,,,
E2CA172EF73EA8DEB8429113111271B9,152157E238C7197C66E435F535190C11,CMT,1.0,N,2013-01-13 05:14:40,2013-01-13 05:16:52,1.0,131.0,0.6,-73.991203,40.589916,-73.991699,40.587563,True,,,,,,,,,,,,,
8C68909B973BA97C3EFA4E9FB274D77B,5224E14DD8BF62C3F067CED23BA95ADD,CMT,1.0,N,2013-01-15 21:59:00,2013-01-15 22:11:32,1.0,751.0,6.2,-73.99855,40.596947,-74.015686,40.642017,True,,,,,,,,,,,,,
294134BC853AC59B821B01C602249488,CFA318CD69C8E611363936586BC1A18D,CMT,1.0,N,2013-01-15 20:17:57,2013-01-15 20:41:39,1.0,1421.0,5.8,-73.972069,40.578842,-73.973656,40.645359,True,,,,,,,,,,,,,
57B0915AFFE0D1CE51FB675094AAC5B3,D54A145CD9F6CE83C137ABE145283A06,CMT,1.0,N,2013-01-13 10:14:31,2013-01-13 10:15:34,1.0,62.0,0.7,-73.971375,40.583324,-73.960289,40.583324,True,,,,,,,,,,,,,
4E91DB243602D5585E5040B68ADC4189,718F8902AF19EFA628709D9F4F976BE6,CMT,1.0,N,2013-01-13 12:07:08,2013-01-13 12:15:52,2.0,524.0,2.2,-73.971642,40.579735,-73.974541,40.600555,True,,,,,,,,,,,,,
7D86872E7E9D5997595E6CEBBD6D6900,33D9ADF1CA79C16A923D434959186436,CMT,1.0,N,2013-01-16 01:17:28,2013-01-16 01:34:47,1.0,1038.0,10.7,-73.99984,40.572945,-73.882591,40.650505,True,,,,,,,,,,,,,
EFB08EF1CDA77CC654234F098E06E90C,543A705EBF327FE61230DCAF21489293,CMT,1.0,N,2013-01-01 03:15:21,2013-01-01 03:22:32,2.0,430.0,2.4,-73.976357,40.579182,-73.997238,40.593548,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:50:45,2013-01-09 21:00:22,2.0,576.0,1.6,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
